age_young,age_elder,gender_male,gender_female,race_white,race_african_american,region_midwest,region_northeast,residence_unstable_housing,residence_stable_housing,disability_status_neuro_cognitive,disability_status_healthy
"Experiencing lots of tiny red dots on feet I have noticed these tiny dots all over my feet. I am a male, 19, from the Netherlands. I'm 190 cm tall (6""2) and weigh 62kg.

I hope it is just something to do with my dry skin. I have quite severe anxiety about health related things and things like insects. So I am quite afraid that they could be bites of some sort, however the spots are never raised, and almost look like they are under the skin. 

If it is relevant at all, I have recently completed a course of accutane to combat acne, and still have quite dry skin.

Here are some pictures. Apologies if it is difficult to see, the spots are miniscule.

https://ibb.co/fS1rNv4

https://ibb.co/Vx7kW3H

https://ibb.co/YQrP4Vz

https://ibb.co/gZy8Cmp

https://ibb.co/9YVrsM7

https://ibb.co/5cWT3Rh","[59F] intense sharp pain in left side of neck that comes and goes 59F, 5’3, 140 pounds, Asian, taking simvastatin 10mg for high cholesterol, no smoking or drinking

Asking on behalf of my mother. She’s been experiencing pain in her neck for many months now and still hasn’t gotten a proper diagnosis despite so many trips to the hospital. 

Initially the pain was rather mild, and not as frequent. She went to the ENT specialist, and they found nothing after an X-ray. They sent her home with omeprazole, thinking it could be acid reflux. The omeprazole didn’t help, and she went back to the hospital, this time they made her do a CT thyroid scan. They found 2 nodules on her thyroid, one 0.4cm and one 1cm wide. The doctor said at this point there was nothing they could do, and told her to come back in 6 months’ time to check on the nodules again. They also did an endoscopy and found nothing. Again, they gave her omeprazole and some Difflam gargle. She still experienced some mild pain some days, but it wasn’t too bad. 

Fast forward 2 months later to early October, she suddenly experienced intense pain like she has never experienced before in the left side of her neck. It’s the kind of pain that renders her unable to move or speak. She would clutch at her neck and scrunch her face in pain. She describes the pain as one that shoots up to her jaw. It lasts for about 10-15 seconds each time, and after that she’s completely fine. No traces of pain anywhere. And this same pattern occurs about at least 10+ times in one day. We brought her to another hospital, and they said it might be a pinched nerve. They gave her gabapentin and a ton of painkillers (paracetamol, tramadol, etoricoxib) and famotidine and gave her a follow-up appointment to the neurologist. 

She’s been taking these medicines for 4 days now and has seen no improvement in the pain. The painkillers don’t help as well. Her appointment with the neuroscience department isn’t until November and she doesn’t think she can tolerate the pain till then. I’m very worried about her. 

What could the problem be?

Edit: Thank you all so much for your input and concern. I’ll update this post if there’s any development, in case it could help anyone experiencing similar issues.

Edit 2: Hi all, I’m finally updating this months later. My mother never got a proper diagnosis, but the methycobal and gabapentin she was on seemed to help. She has not experienced the pain since then. But unfortunately, one of her thyroid nodules has been found to be malignant and she’s getting a partial thyroidectomy soon. The specialist she saw said the thyroid nodules have nothing to do with the pain she experienced though. Praying that the surgery will go smoothly.","Experiencing lots of tiny red dots on feet I have noticed these tiny dots all over my feet. I am a male, 19, from the Netherlands. I'm 190 cm tall (6""2) and weigh 62kg.

I hope it is just something to do with my dry skin. I have quite severe anxiety about health related things and things like insects. So I am quite afraid that they could be bites of some sort, however the spots are never raised, and almost look like they are under the skin. 

If it is relevant at all, I have recently completed a course of accutane to combat acne, and still have quite dry skin.

Here are some pictures. Apologies if it is difficult to see, the spots are miniscule.

https://ibb.co/fS1rNv4

https://ibb.co/Vx7kW3H

https://ibb.co/YQrP4Vz

https://ibb.co/gZy8Cmp

https://ibb.co/9YVrsM7

https://ibb.co/5cWT3Rh","Hearing loss in 11 months old female baby My niece who is:
Age: 0.11F
weight: 4.8 kg
height: 1.5 feet
gender: Female
location of complaint: Karachi, Pakistan
duration of complaint: Since 2 months
smoking status: nil

has been diagnosed with hearing loss and due to unresponsive behaviour of baby we did her medical check up and after diagnosis it showed “suggestive bilateral peripheral auditory pathway disfunction (middle ear, cochlea, proximal VIII nerve) but further localisation of the lesion was not possible.

History: decreased hearing in baby, history of delayed milestones of growth and congenital rubella syndrome.

now doctors have suggested surgery for Cochlear Implantation which costs a lot, almost $38,800, and it isn’t affordable by our family.

Please suggest any other ways possible for this surgery to happen or any other diagnosis needed to further clarify the disease.
 
Any kind of help would be really very appreciated. 

Country: Pakistan

Hospitals: South City hospital Karachi, Pakistan
The Aga Khan Hospital Karachi, Pakistan.     
Liaquat National Hospital Karachi, Pakistan","Low NE and High LY I'm a 25 year old caucasian male, 1.90cm (6'2) tall and my weight is 90kg(198lb).

I have an appointment tomorrow, but I'm going crazy, can someone explain me if that's too high/low? 

http://imgur.com/a/yzONe The blood test results",,,,,,,"Is my friend’s ECG reading normal? My friend [25, male, white, pretty healthy] and I were messing about at work today, taking some ECGs. Neither of us is medically trained, but we work at a clinic. There were no docs around to ask at the time. His ECG looks wildly different to mine, though. I’ve put a link to it here (I have his permission to post it). 

I said he should get checked out, but he just laughed it off and said he’s fine. Do you think this is something to worry about? I can’t really comment on his lifestyle, he may drink alcohol and maybe some recreational drugs. I don’t know much about ECGs, but I was a bit shocked at how different it looks. 

Here it is on Imgur: 

https://imgur.com/a/3w6u2IP[ECG](https://imgur.com/a/3w6u2IP)

For reference, here is mine too: 

[my ecg ](https://imgur.com/a/qnIMbeO)"
"Hearing loss in 11 months old female baby My niece who is:
Age: 0.11F
weight: 4.8 kg
height: 1.5 feet
gender: Female
location of complaint: Karachi, Pakistan
duration of complaint: Since 2 months
smoking status: nil

has been diagnosed with hearing loss and due to unresponsive behaviour of baby we did her medical check up and after diagnosis it showed “suggestive bilateral peripheral auditory pathway disfunction (middle ear, cochlea, proximal VIII nerve) but further localisation of the lesion was not possible.

History: decreased hearing in baby, history of delayed milestones of growth and congenital rubella syndrome.

now doctors have suggested surgery for Cochlear Implantation which costs a lot, almost $38,800, and it isn’t affordable by our family.

Please suggest any other ways possible for this surgery to happen or any other diagnosis needed to further clarify the disease.
 
Any kind of help would be really very appreciated. 

Country: Pakistan

Hospitals: South City hospital Karachi, Pakistan
The Aga Khan Hospital Karachi, Pakistan.     
Liaquat National Hospital Karachi, Pakistan",,"Low NE and High LY I'm a 25 year old caucasian male, 1.90cm (6'2) tall and my weight is 90kg(198lb).

I have an appointment tomorrow, but I'm going crazy, can someone explain me if that's too high/low? 

http://imgur.com/a/yzONe The blood test results","Can I take Imodium without having diarrhea?  I (26F) suffer from really bad anxiety and agoraphobia. I have a hospital appointment tomorrow, my psychiatrist has prescribed me 2mg diazepam to take before my appointment. 

My issue is the thing that triggers my anxiety a lot in public is the feeling that I’m going to “shit myself” I only ate once earlier in the day the day prior to my appointment in hopes that maybe I wont feel the urge to poop during my appointment.  

We have some Imodium in our medicine drawer so I’m wondering if I’m ok to take it to try to further prevent the urge? 

Medications I’m currently on are mirtazpine and quetiapine. I also have NAFLD. ","Is my friend’s ECG reading normal? My friend [25, male, white, pretty healthy] and I were messing about at work today, taking some ECGs. Neither of us is medically trained, but we work at a clinic. There were no docs around to ask at the time. His ECG looks wildly different to mine, though. I’ve put a link to it here (I have his permission to post it). 

I said he should get checked out, but he just laughed it off and said he’s fine. Do you think this is something to worry about? I can’t really comment on his lifestyle, he may drink alcohol and maybe some recreational drugs. I don’t know much about ECGs, but I was a bit shocked at how different it looks. 

Here it is on Imgur: 

https://imgur.com/a/3w6u2IP[ECG](https://imgur.com/a/3w6u2IP)

For reference, here is mine too: 

[my ecg ](https://imgur.com/a/qnIMbeO)",,,,,,,"Why is intubation dangerous? I'm getting ready to go under for a surgery soon (60 minutes) and the whole intubation thing confuses me.  I get that in general, if your health isn't that great, that any procedure is riskier than with a healthy person.  But what exactly does intubation do that puts you at risk?  I guess the way I see it, if it is mimicking your breathing, how would it cause a greater risk to you that day than if you just lived your life with a compromised heart or respiratory system?  


Me: 37 year old male, non smoker, generally good health aside from an abdominal lipoma (the one I'm going in for next week) and high bilirubin possibly due to Gilbert's Syndrome."
"Can I take Imodium without having diarrhea?  I (26F) suffer from really bad anxiety and agoraphobia. I have a hospital appointment tomorrow, my psychiatrist has prescribed me 2mg diazepam to take before my appointment. 

My issue is the thing that triggers my anxiety a lot in public is the feeling that I’m going to “shit myself” I only ate once earlier in the day the day prior to my appointment in hopes that maybe I wont feel the urge to poop during my appointment.  

We have some Imodium in our medicine drawer so I’m wondering if I’m ok to take it to try to further prevent the urge? 

Medications I’m currently on are mirtazpine and quetiapine. I also have NAFLD. ",,"50m Penis Injury during sex? Last night, I (m50) was having sex with partner (f42). She was on top and we were both about to orgasm. She came down on me a little aggressively and held her position while cumming and either the walls or maybe her cervix felt like it was blocking the opening to my urethra. When I starting ejaculating I felt a stinging pain. Probably worst description ever, but it was like the ejaculate had no where to go and just backfired. I adjusted position by the second or third ‘contraction’ and soon enough I was ejaculating normally inside her. When she cleaned up she found blood. I also had a bit of blood coming out of my urethra and I’ve since had a stinging pain near the tip when I urinate. I no longer see any blood but things are a bit sensitive. I woke up with a regular erection. It was not uncomfortable, but also I did not try having sex. Is this something that may heal on its own or should I seek medical attention? Also would love a more professional explanation of what may have happened, why the pain, what kind of damage and whether the lady and I can resume our COVID19 isolation frolicking or whether we should break out jigsaw puzzles for a day or two...
Thank you for your help","Did I have a heart attack? 19F hospitalized for myocarditis and pericarditis from a viral infection / stomach bug. I’m only just now reading medical notes (nothing I needed to be reading, just some information the hospital relayed to my primary physician) and it said “found to have NSTEMI likely due to myo+pericarditis”

I mean, Google is saying that it’s a type of heart attack. I wasn’t *told* I had a heart attack but that’s what was written down. Does it mean something else? It sure felt like one while I was experiencing it","Is this a staph infection? https://imgur.com/a/tB9QsJr I am a white 25 year old male, 6'00"", 163 lbs in Los Angeles, CA. I believe I may have a staph infection on my left forearm, a couple of inches above my wrist. I first noticed a ""pimple-like"" mark on that area about five days ago. It hurts to touch but it is not itchy. I have recently started brazilian jiu jitsu and this is pretty common in those gyms. I am not currently on any medications.

Thank you in advance for any information!

https://imgur.com/a/tB9QsJr",,,,,,,
"Did I have a heart attack? 19F hospitalized for myocarditis and pericarditis from a viral infection / stomach bug. I’m only just now reading medical notes (nothing I needed to be reading, just some information the hospital relayed to my primary physician) and it said “found to have NSTEMI likely due to myo+pericarditis”

I mean, Google is saying that it’s a type of heart attack. I wasn’t *told* I had a heart attack but that’s what was written down. Does it mean something else? It sure felt like one while I was experiencing it",,"Is my friend’s ECG reading normal? My friend [25, male, white, pretty healthy] and I were messing about at work today, taking some ECGs. Neither of us is medically trained, but we work at a clinic. There were no docs around to ask at the time. His ECG looks wildly different to mine, though. I’ve put a link to it here (I have his permission to post it). 

I said he should get checked out, but he just laughed it off and said he’s fine. Do you think this is something to worry about? I can’t really comment on his lifestyle, he may drink alcohol and maybe some recreational drugs. I don’t know much about ECGs, but I was a bit shocked at how different it looks. 

Here it is on Imgur: 

https://imgur.com/a/3w6u2IP[ECG](https://imgur.com/a/3w6u2IP)

For reference, here is mine too: 

[my ecg ](https://imgur.com/a/qnIMbeO)","50m Penis Injury during sex? Last night, I (m50) was having sex with partner (f42). She was on top and we were both about to orgasm. She came down on me a little aggressively and held her position while cumming and either the walls or maybe her cervix felt like it was blocking the opening to my urethra. When I starting ejaculating I felt a stinging pain. Probably worst description ever, but it was like the ejaculate had no where to go and just backfired. I adjusted position by the second or third ‘contraction’ and soon enough I was ejaculating normally inside her. When she cleaned up she found blood. I also had a bit of blood coming out of my urethra and I’ve since had a stinging pain near the tip when I urinate. I no longer see any blood but things are a bit sensitive. I woke up with a regular erection. It was not uncomfortable, but also I did not try having sex. Is this something that may heal on its own or should I seek medical attention? Also would love a more professional explanation of what may have happened, why the pain, what kind of damage and whether the lady and I can resume our COVID19 isolation frolicking or whether we should break out jigsaw puzzles for a day or two...
Thank you for your help","Toe Problem? Nail peeling and Discolored? https://m.imgur.com/gallery/lVQtPjK

Age:23 
Sex:female
Height:5,0
Weight:95lbs
Race:White
Duration of Complaint: About 1 year
Location: Right big toenail

Hey, I have been having this problem on my one big toe for probably over a year now. I don’t remember ever hitting it on something to bruise it under the mail or anything.

The nail feels kinda dry and flaky as like a layer of nail feel off over it. It’s getting close to summer and I would love to start wearing sandals again, but it’s kinda a eyesore. I would put nail polish over it, but I don’t think it’ll be healthy on that toe in this condition. Also, the stain kinda shows though the polish anyways.

I thought at first, it was just some dead nail underneath and as the nail grows, I would just clip it off and eventually new nail would grow in healthy, but no luck. I try all those nail repair and  healthy cuticle stuff and lotion.

Any idea, what could be going on and how to fix it?
None of my other toenails are like this.",,,,,,,
"Orofacial Granulomatosis I am a 22 year old male over 6 feet tall weighing 200 pounds. Please read as I am looking for answers. 

Just before the sixth grade, I woke up one morning and
my lips had swollen like balloons. So large it was
noticeable to my classmates at the time. I then began to
see different doctors and specialist until finally being
diagnosed with Crohn's Disease. The odd thing about this
was I never suffered from the ""normal"" Crohn's
symptoms, however my swollen lips were the only
problem. After finding a third opinion, an IBD doctor put
me on Humira where by the time I reached ninth grade I
had no more swelling except for very rare flare ups in the
bottom lip if I ate anything really out of the ordinary. From
that point on I had led a normal life, still taking Humira bi-
weekly. Fast forwarding to the year I turned 20, right in
the middle of my college years and right at the beginning
of the Covid-19 pandemic, I woke up with not only very
swollen lips, but a very swollen and sore face as well. For
a couple months it would go down and then flare up again
in a continuous cycle. But ever since May 2020, my face
and lips have remained an uncomfortable swollen size.
My bottom lip is swollen and stuck out while the middle of
my top lip is swollen and constantly cracking. To make
matters worse everything in my face from the eyes down
is swollen as if I was stung by a bee and had an allergic
reaction. I have seen different doctors, IBD and
dermatologist about this condition. I have zero ID issues
but have been diagnosed with Orofacial Granulomatosis.
As for medications, I was taken off Humira around June
2020 due to it having no effectiveness. Since then I've
tried oral steroids, Stelara, Antibiotics, Steroid injections,
lip surgeries, along with others and am currently closing
in on my third month with a new Drug, Skyrizi. I am also
trying to currently do an all natural, no alcohol, benzoate,
free diet. I feel like I have tried almost everything possible
and living with this condition has taken a heavy toll on the
way I live my life and has caused me to just want to hide
in my room all the time. If there is anyone who may have
any experience or who has had this and been put in
remission from this, please let me know as I really don't
know what to do at this point as it has been over two
years living with this uncomfortable and self conscious",,"Is this a staph infection? https://imgur.com/a/tB9QsJr I am a white 25 year old male, 6'00"", 163 lbs in Los Angeles, CA. I believe I may have a staph infection on my left forearm, a couple of inches above my wrist. I first noticed a ""pimple-like"" mark on that area about five days ago. It hurts to touch but it is not itchy. I have recently started brazilian jiu jitsu and this is pretty common in those gyms. I am not currently on any medications.

Thank you in advance for any information!

https://imgur.com/a/tB9QsJr","High blood pressure Towards the end of my pregnancy I had a high blood pressure (140/90). I got medication for it and it dropped to 120/75. 
Right after my labor my bloodpressure was back to 110/70 and I was released from the hospital.

At the 6 weeks check up they checked again and it was really high at 150/110. They told me to come back in a couple of months but my bloodpressure was still the same after 3 months. I had to do some bloodwork and urine. They didn’t find anything in the blood but my urine had protein. The assistent couldn’t tell me what this meant, only that I had to drop of urine again. 

So what does this mean? Are my kidneys failing because of the high blood pressure?  I am asian, 31F, 166cm, 70kg. Before pregnancy I was 64 kg. I have PCOS and astma, don’t know if that has anything to do with it. Also I used to work out 3 times a week and follow a diet, but I don’t anymore. Could that be the reason for my bloodpressure?","Help! Sore nostrils! (18M 5' 9"" 200lbs Caucasian) my nostrils have been really sore and just hurting for around 2 days now, I've tried saline spray and even a humidifier. I just need some tips to stop this pain. I would really appreciate it!",,,,,,,
Unsure if I'm healthy or not I'm a 18 year old male and I weigh about 101 ponds and my height is 5'7 a lot of people tell me I could be anorexic or something? But I'm not sure? Is that a normal weight to be at??,,"Why is intubation dangerous? I'm getting ready to go under for a surgery soon (60 minutes) and the whole intubation thing confuses me.  I get that in general, if your health isn't that great, that any procedure is riskier than with a healthy person.  But what exactly does intubation do that puts you at risk?  I guess the way I see it, if it is mimicking your breathing, how would it cause a greater risk to you that day than if you just lived your life with a compromised heart or respiratory system?  


Me: 37 year old male, non smoker, generally good health aside from an abdominal lipoma (the one I'm going in for next week) and high bilirubin possibly due to Gilbert's Syndrome.","[59F] intense sharp pain in left side of neck that comes and goes 59F, 5’3, 140 pounds, Asian, taking simvastatin 10mg for high cholesterol, no smoking or drinking

Asking on behalf of my mother. She’s been experiencing pain in her neck for many months now and still hasn’t gotten a proper diagnosis despite so many trips to the hospital. 

Initially the pain was rather mild, and not as frequent. She went to the ENT specialist, and they found nothing after an X-ray. They sent her home with omeprazole, thinking it could be acid reflux. The omeprazole didn’t help, and she went back to the hospital, this time they made her do a CT thyroid scan. They found 2 nodules on her thyroid, one 0.4cm and one 1cm wide. The doctor said at this point there was nothing they could do, and told her to come back in 6 months’ time to check on the nodules again. They also did an endoscopy and found nothing. Again, they gave her omeprazole and some Difflam gargle. She still experienced some mild pain some days, but it wasn’t too bad. 

Fast forward 2 months later to early October, she suddenly experienced intense pain like she has never experienced before in the left side of her neck. It’s the kind of pain that renders her unable to move or speak. She would clutch at her neck and scrunch her face in pain. She describes the pain as one that shoots up to her jaw. It lasts for about 10-15 seconds each time, and after that she’s completely fine. No traces of pain anywhere. And this same pattern occurs about at least 10+ times in one day. We brought her to another hospital, and they said it might be a pinched nerve. They gave her gabapentin and a ton of painkillers (paracetamol, tramadol, etoricoxib) and famotidine and gave her a follow-up appointment to the neurologist. 

She’s been taking these medicines for 4 days now and has seen no improvement in the pain. The painkillers don’t help as well. Her appointment with the neuroscience department isn’t until November and she doesn’t think she can tolerate the pain till then. I’m very worried about her. 

What could the problem be?

Edit: Thank you all so much for your input and concern. I’ll update this post if there’s any development, in case it could help anyone experiencing similar issues.

Edit 2: Hi all, I’m finally updating this months later. My mother never got a proper diagnosis, but the methycobal and gabapentin she was on seemed to help. She has not experienced the pain since then. But unfortunately, one of her thyroid nodules has been found to be malignant and she’s getting a partial thyroidectomy soon. The specialist she saw said the thyroid nodules have nothing to do with the pain she experienced though. Praying that the surgery will go smoothly.",,,,,,,,
"Persistent Sore Throat but Not Strep Hi all, 

I’m in need of some assistance as I don’t know what could be wrong with me. Im a female in my early 20’s, 5’5” and 120 lbs, non smoker, no medications (other than recent course of antibiotics), and social drinker. A few weeks ago, I went to bed with a minor headache and woke up with a minor fever (99 degrees) and a very bad sore throat. It felt like razor blades in my throat when swallowing. I toughed it out for a day and then went to the doctor - he did a visual exam and diagnosised strep throat based on redness, white spots, incredibly swollen lymph nodes at the front of my throat (no where else that I noticed), my fever, and achiness. I was also very fatigued and a bit congested and was barely eating as i had little appetite and energy. I took a full course of antibiotics, but it wasn’t until today when i called to tell the doctor my sore throat was back that i found out my throat culture was negative for any infectious bacteria (he didn’t do the rapid test, only the culture). 

I had started improving noticeably about 50 hours on the antibiotics (I know that if it wasn’t bacterial the antibiotics wouldn’t have helped, but I’m providing for context and timeline). By the time I finished the course, I was feeling back to 98%, so I had assumed it was bacterial and didn’t follow up with my doctor for the culture results. However, for the past week or so, I’ve had a sore throat that has been gradually worsening. Each day it lasts for longer in the morning, and it’s started to hurt when swallowing again. I’ve noticed my oral bacteria seem a little out of whack – I’ve had more build up on my tongue that usual, but it’s not excessive. I’m also congested and starting to feel a little light headed. 

In terms of medical history, the only health problem I have is high blood sugar (pre-diabetic). I am sexually active, and I had a new sexual partner a few days before I started feeling sick, but other than the white spots in my throat, I did not see any oral sores. If my first infection was not bacterial, what could it have been? Are bacterial cultures 100% accurate? Is this second sore throat a coincidence or is it a reoccurrence or whatever I had before?",,"Orofacial Granulomatosis I am a 22 year old male over 6 feet tall weighing 200 pounds. Please read as I am looking for answers. 

Just before the sixth grade, I woke up one morning and
my lips had swollen like balloons. So large it was
noticeable to my classmates at the time. I then began to
see different doctors and specialist until finally being
diagnosed with Crohn's Disease. The odd thing about this
was I never suffered from the ""normal"" Crohn's
symptoms, however my swollen lips were the only
problem. After finding a third opinion, an IBD doctor put
me on Humira where by the time I reached ninth grade I
had no more swelling except for very rare flare ups in the
bottom lip if I ate anything really out of the ordinary. From
that point on I had led a normal life, still taking Humira bi-
weekly. Fast forwarding to the year I turned 20, right in
the middle of my college years and right at the beginning
of the Covid-19 pandemic, I woke up with not only very
swollen lips, but a very swollen and sore face as well. For
a couple months it would go down and then flare up again
in a continuous cycle. But ever since May 2020, my face
and lips have remained an uncomfortable swollen size.
My bottom lip is swollen and stuck out while the middle of
my top lip is swollen and constantly cracking. To make
matters worse everything in my face from the eyes down
is swollen as if I was stung by a bee and had an allergic
reaction. I have seen different doctors, IBD and
dermatologist about this condition. I have zero ID issues
but have been diagnosed with Orofacial Granulomatosis.
As for medications, I was taken off Humira around June
2020 due to it having no effectiveness. Since then I've
tried oral steroids, Stelara, Antibiotics, Steroid injections,
lip surgeries, along with others and am currently closing
in on my third month with a new Drug, Skyrizi. I am also
trying to currently do an all natural, no alcohol, benzoate,
free diet. I feel like I have tried almost everything possible
and living with this condition has taken a heavy toll on the
way I live my life and has caused me to just want to hide
in my room all the time. If there is anyone who may have
any experience or who has had this and been put in
remission from this, please let me know as I really don't
know what to do at this point as it has been over two
years living with this uncomfortable and self conscious","Persistent Sore Throat but Not Strep Hi all, 

I’m in need of some assistance as I don’t know what could be wrong with me. Im a female in my early 20’s, 5’5” and 120 lbs, non smoker, no medications (other than recent course of antibiotics), and social drinker. A few weeks ago, I went to bed with a minor headache and woke up with a minor fever (99 degrees) and a very bad sore throat. It felt like razor blades in my throat when swallowing. I toughed it out for a day and then went to the doctor - he did a visual exam and diagnosised strep throat based on redness, white spots, incredibly swollen lymph nodes at the front of my throat (no where else that I noticed), my fever, and achiness. I was also very fatigued and a bit congested and was barely eating as i had little appetite and energy. I took a full course of antibiotics, but it wasn’t until today when i called to tell the doctor my sore throat was back that i found out my throat culture was negative for any infectious bacteria (he didn’t do the rapid test, only the culture). 

I had started improving noticeably about 50 hours on the antibiotics (I know that if it wasn’t bacterial the antibiotics wouldn’t have helped, but I’m providing for context and timeline). By the time I finished the course, I was feeling back to 98%, so I had assumed it was bacterial and didn’t follow up with my doctor for the culture results. However, for the past week or so, I’ve had a sore throat that has been gradually worsening. Each day it lasts for longer in the morning, and it’s started to hurt when swallowing again. I’ve noticed my oral bacteria seem a little out of whack – I’ve had more build up on my tongue that usual, but it’s not excessive. I’m also congested and starting to feel a little light headed. 

In terms of medical history, the only health problem I have is high blood sugar (pre-diabetic). I am sexually active, and I had a new sexual partner a few days before I started feeling sick, but other than the white spots in my throat, I did not see any oral sores. If my first infection was not bacterial, what could it have been? Are bacterial cultures 100% accurate? Is this second sore throat a coincidence or is it a reoccurrence or whatever I had before?",,,,,,,,
"Mysterious Skin Condition that feels Terrible. https://imgur.com/a/mVQcRxq

Male
19
Asia
Cheeks, Forehead, Below Eyebrows, Shoulders.
Since Febuary



Cheeks, Forehead, Below Eyebrows:
- Turns Red Easily.
- Itchier on drier spots.
- Feels like sandpaper (rough).
- Some parts more red than others.
- White Dead skin comes off when I scratch.
- Certain Skin Products makes it more Red.
- Always itchy on the same places in my cheeks.
- More itchier at night when skin is drier.
- Sometimes itchy when sweating.

Shoulders:
- More itchier at night especially after shower.
- Small Dried circular blood from previous scratch.
- Itchiness can spread through chest, Underams and Neck
- Visible Redness after scratching.
- Some dry spots in certain areas.



Additional Information:
- Visited the Dermatologist twice and he told me to figure it out on my own while providing me steroid cream. I feel sad.
- Has never happened last year.
- Did lots of research on my own and could not find anything new.
- Currently eating plain, clean food like Chicken, Broccoli, Watermelon etc. 
- I have used different sensitivity-care products on my skin and give each of them one week to shine, none of them caused nor cure my skin condition.
- I exercise regularly and get sunlight 3 times a week for Vitamin D.

I hope someone can help me with this. Thank you very much.



",,Unsure if I'm healthy or not I'm a 18 year old male and I weigh about 101 ponds and my height is 5'7 a lot of people tell me I could be anorexic or something? But I'm not sure? Is that a normal weight to be at??,"My partner and daughter broke out in blister in lip after kissing me ( I fear I gave them HPV ) I am female 
Age 31
168cm tall
Weight 69kg
Live in the UK 

HPV positive 2023 NoVember. I fear I may have passed it to my husband and daughter 

I got a pap smear in November last and came out lowngrade dyskarosis . Colposcopy was done and was told nothing was found abnormal and get tested in 3 years.
I've been confused on what to do all this while.

I've had acne in face and sometimes fear it causes by HPV as it keeps reoccuring in my jaw line and cheek ( may not be sure it HPV related)

I hear had normal vaginally smell and nothing irregular down there .

But last week I kissed my daughter and the next morning she broke out with Blister in her mouth ( even though I don't have any blisters)

Last night I and my partner did have a deep kissing and this morning he told me he's got blister in lip and hurts him .

I am so broken after reading on the Internet that I may have passed HPV to them.

Is this the end of me now?
I am down and confused. 

It's Saturday today and can't reach my GP.

Please someone , help 
What do I do?
",,,,,,,,
"Vision 27F 
Eye floaters 

Eye floaters... child nr 2, birth & breastfeeding 

could i got floaters from birth or hormonal changes?",,"Mysterious Skin Condition that feels Terrible. https://imgur.com/a/mVQcRxq

Male
19
Asia
Cheeks, Forehead, Below Eyebrows, Shoulders.
Since Febuary



Cheeks, Forehead, Below Eyebrows:
- Turns Red Easily.
- Itchier on drier spots.
- Feels like sandpaper (rough).
- Some parts more red than others.
- White Dead skin comes off when I scratch.
- Certain Skin Products makes it more Red.
- Always itchy on the same places in my cheeks.
- More itchier at night when skin is drier.
- Sometimes itchy when sweating.

Shoulders:
- More itchier at night especially after shower.
- Small Dried circular blood from previous scratch.
- Itchiness can spread through chest, Underams and Neck
- Visible Redness after scratching.
- Some dry spots in certain areas.



Additional Information:
- Visited the Dermatologist twice and he told me to figure it out on my own while providing me steroid cream. I feel sad.
- Has never happened last year.
- Did lots of research on my own and could not find anything new.
- Currently eating plain, clean food like Chicken, Broccoli, Watermelon etc. 
- I have used different sensitivity-care products on my skin and give each of them one week to shine, none of them caused nor cure my skin condition.
- I exercise regularly and get sunlight 3 times a week for Vitamin D.

I hope someone can help me with this. Thank you very much.



","Vision 27F 
Eye floaters 

Eye floaters... child nr 2, birth & breastfeeding 

could i got floaters from birth or hormonal changes?",,,,,,,,
"Help! Sore nostrils! (18M 5' 9"" 200lbs Caucasian) my nostrils have been really sore and just hurting for around 2 days now, I've tried saline spray and even a humidifier. I just need some tips to stop this pain. I would really appreciate it!",,"How did I (24M) become medically immune? Hi I am 24 gay man and a few years ago while I was looking at my medical records it said I was medically immune to Hep A. I don't ever remember getting Hep A to have gotten a natural immunity, and I don't remember if I had ever gotten the Hep A vaccine before then. And because I am medically immune to it, I was not required to get the vaccine when I entered the Army. Can someone explain how I may have become medically immune to Hep A? 

I would like to note I am not very sexually active and my hook ups are few and far between sometimes even going more than a year without sex with another man.","Toe Problem? Nail peeling and Discolored? https://m.imgur.com/gallery/lVQtPjK

Age:23 
Sex:female
Height:5,0
Weight:95lbs
Race:White
Duration of Complaint: About 1 year
Location: Right big toenail

Hey, I have been having this problem on my one big toe for probably over a year now. I don’t remember ever hitting it on something to bruise it under the mail or anything.

The nail feels kinda dry and flaky as like a layer of nail feel off over it. It’s getting close to summer and I would love to start wearing sandals again, but it’s kinda a eyesore. I would put nail polish over it, but I don’t think it’ll be healthy on that toe in this condition. Also, the stain kinda shows though the polish anyways.

I thought at first, it was just some dead nail underneath and as the nail grows, I would just clip it off and eventually new nail would grow in healthy, but no luck. I try all those nail repair and  healthy cuticle stuff and lotion.

Any idea, what could be going on and how to fix it?
None of my other toenails are like this.",,,,,,,,
