entity1,entity2,relationship_type,question1,question2,question3
pulmonary embolism,shortness of breath,disease-symptom,Is pulmonary embolism a disease?,Is shortness of breath a symptom?,Is shortness of breath a symptom of pulmonary embolism?
pulmonary embolism,chest pain,disease-symptom,Is pulmonary embolism a disease?,Is chest pain a symptom?,Is chest pain a symptom of pulmonary embolism?
chiari 1,difficulty swallowing,disease-symptom,Is chiari 1 a disease?,Is difficulty swallowing a symptom?,Is difficulty swallowing a symptom of chiari 1?
chiari 1,hoarseness,disease-symptom,Is chiari 1 a disease?,Is hoarseness a symptom?,Is hoarseness a symptom of chiari 1?
chiari 1,loss sensation,disease-symptom,Is chiari 1 a disease?,Is loss sensation a symptom?,Is loss sensation a symptom of chiari 1?
shortness of breath,pulmonary embolism,symptom-disease,Is shortness of breath a symptom?,Is pulmonary embolism a disease?,Is shortness of breath a symptom of pulmonary embolism?
chest pain,pulmonary embolism,symptom-disease,Is chest pain a symptom?,Is pulmonary embolism a disease?,Is chest pain a symptom of pulmonary embolism?
difficulty swallowing,chiari 1,symptom-disease,Is difficulty swallowing a symptom?,Is chiari 1 a disease?,Is difficulty swallowing a symptom of chiari 1?
hoarseness,chiari 1,symptom-disease,Is hoarseness a symptom?,Is chiari 1 a disease?,Is hoarseness a symptom of chiari 1?
loss sensation,chiari 1,symptom-disease,Is loss sensation a symptom?,Is chiari 1 a disease?,Is loss sensation a symptom of chiari 1?
knee pain,radial tear of the medial meniscus,symptom-disease,Is knee pain a symptom?,Is radial tear of the medial meniscus a disease?,Is knee pain a symptom of radial tear of the medial meniscus?
radial tear of the medial meniscus,joint effusion,disease-symptom,Is radial tear of the medial meniscus a disease?,Is joint effusion a symptom?,Is joint effusion a symptom of radial tear of the medial meniscus?
heart fluttering,Cardiology Issues,symptom-disease,Is heart fluttering a symptom?,Is Cardiology Issues a disease?,Is heart fluttering a symptom of Cardiology Issues?
chest pains,Cardiology Issues,symptom-disease,Is chest pains a symptom?,Is Cardiology Issues a disease?,Is chest pains a symptom of Cardiology Issues?
burning in chest,Cardiology Issues,symptom-disease,Is burning in chest a symptom?,Is Cardiology Issues a disease?,Is burning in chest a symptom of Cardiology Issues?
allergy,sneezing,disease-symptom,Is allergy a disease?,Is sneezing a symptom?,Is sneezing a symptom of allergy?
allergy,running nose,disease-symptom,Is allergy a disease?,Is running nose a symptom?,Is running nose a symptom of allergy?
schizoaffective disorder,psychotic/schizophrenic tendencies,disease-symptom,Is schizoaffective disorder a disease?,Is psychotic/schizophrenic tendencies a symptom?,Is psychotic/schizophrenic tendencies a symptom of schizoaffective disorder?
depression,lethargy,disease-symptom,Is depression a disease?,Is lethargy a symptom?,Is lethargy a symptom of depression?
depression,tired,disease-symptom,Is depression a disease?,Is tired a symptom?,Is tired a symptom of depression?
Ativan,withdrawal symptoms,drug-disease,Is Ativan a drug?,Is withdrawal symptoms a disease?,Is Ativan used to treat withdrawal symptoms?
withdrawal symptoms,shaking,disease-symptom,Is withdrawal symptoms a disease?,Is shaking a symptom?,Is shaking a symptom of withdrawal symptoms?
withdrawal symptoms,hot/cold flashes,disease-symptom,Is withdrawal symptoms a disease?,Is hot/cold flashes a symptom?,Is hot/cold flashes a symptom of withdrawal symptoms?
withdrawal symptoms,jaw pain,disease-symptom,Is withdrawal symptoms a disease?,Is jaw pain a symptom?,Is jaw pain a symptom of withdrawal symptoms?
withdrawal symptoms,brain fog,disease-symptom,Is withdrawal symptoms a disease?,Is brain fog a symptom?,Is brain fog a symptom of withdrawal symptoms?
withdrawal symptoms,zero appetite,disease-symptom,Is withdrawal symptoms a disease?,Is zero appetite a symptom?,Is zero appetite a symptom of withdrawal symptoms?
nasal congestion,difficulty breathing,disease-symptom,Is nasal congestion a disease?,Is difficulty breathing a symptom?,Is difficulty breathing a symptom of nasal congestion?
nasal congestion,sleep disturbance,disease-symptom,Is nasal congestion a disease?,Is sleep disturbance a symptom?,Is sleep disturbance a symptom of nasal congestion?
varicoceles,fertility,disease-symptom,Is varicoceles a disease?,Is fertility a symptom?,Is fertility a symptom of varicoceles?
prolactin,gynecomastia,symptom-disease,Is prolactin a symptom?,Is gynecomastia a disease?,Is prolactin a symptom of gynecomastia?
clomid,mens fertility,drug-disease,Is clomid a drug?,Is mens fertility a disease?,Is clomid used to treat mens fertility?
escitalopram,depression,drug-disease,Is escitalopram a drug?,Is depression a disease?,Is escitalopram used to treat depression?
flu,fever,disease-symptom,Is flu a disease?,Is fever a symptom?,Is fever a symptom of flu?
flu,runny nose,disease-symptom,Is flu a disease?,Is runny nose a symptom?,Is runny nose a symptom of flu?
flu,coughing,disease-symptom,Is flu a disease?,Is coughing a symptom?,Is coughing a symptom of flu?
flu,sore throat,disease-symptom,Is flu a disease?,Is sore throat a symptom?,Is sore throat a symptom of flu?
covid,fever,disease-symptom,Is covid a disease?,Is fever a symptom?,Is fever a symptom of covid?
covid,runny nose,disease-symptom,Is covid a disease?,Is runny nose a symptom?,Is runny nose a symptom of covid?
covid,coughing,disease-symptom,Is covid a disease?,Is coughing a symptom?,Is coughing a symptom of covid?
covid,sore throat,disease-symptom,Is covid a disease?,Is sore throat a symptom?,Is sore throat a symptom of covid?
heat rash,rash,disease-symptom,Is heat rash a disease?,Is rash a symptom?,Is rash a symptom of heat rash?
nicotine gum,nicotine poisoning,drug-disease,Is nicotine gum a drug?,Is nicotine poisoning a disease?,Is nicotine gum used to treat nicotine poisoning?
nicotine poisoning,stomach pain,disease-symptom,Is nicotine poisoning a disease?,Is stomach pain a symptom?,Is stomach pain a symptom of nicotine poisoning?
stomach pain,nicotine poisoning,symptom-disease,Is stomach pain a symptom?,Is nicotine poisoning a disease?,Is stomach pain a symptom of nicotine poisoning?
ALS,muscle twitching,disease-symptom,Is ALS a disease?,Is muscle twitching a symptom?,Is muscle twitching a symptom of ALS?
ALS,weakness,disease-symptom,Is ALS a disease?,Is weakness a symptom?,Is weakness a symptom of ALS?
atrophy,ALS,symptom-disease,Is atrophy a symptom?,Is ALS a disease?,Is atrophy a symptom of ALS?
yeast infection,rash,disease-symptom,Is yeast infection a disease?,Is rash a symptom?,Is rash a symptom of yeast infection?
clobetasol,autoeczematization,drug-disease,Is clobetasol a drug?,Is autoeczematization a disease?,Is clobetasol used to treat autoeczematization?
autoeczematization,rash,disease-symptom,Is autoeczematization a disease?,Is rash a symptom?,Is rash a symptom of autoeczematization?
prednisone,autoeczematization,drug-disease,Is prednisone a drug?,Is autoeczematization a disease?,Is prednisone used to treat autoeczematization?
gastritis,upper abdominal pain,disease-symptom,Is gastritis a disease?,Is upper abdominal pain a symptom?,Is upper abdominal pain a symptom of gastritis?
Effexor,anxiety,drug-disease,Is Effexor a drug?,Is anxiety a disease?,Is Effexor used to treat anxiety?
heart condition,lightheaded,disease-symptom,Is heart condition a disease?,Is lightheaded a symptom?,Is lightheaded a symptom of heart condition?
heart condition,breathless,disease-symptom,Is heart condition a disease?,Is breathless a symptom?,Is breathless a symptom of heart condition?
skipped beat,heart condition,symptom-disease,Is skipped beat a symptom?,Is heart condition a disease?,Is skipped beat a symptom of heart condition?
lightheaded,heart condition,symptom-disease,Is lightheaded a symptom?,Is heart condition a disease?,Is lightheaded a symptom of heart condition?
breathless,heart condition,symptom-disease,Is breathless a symptom?,Is heart condition a disease?,Is breathless a symptom of heart condition?
hyperprolactinemia,erection problems,disease-symptom,Is hyperprolactinemia a disease?,Is erection problems a symptom?,Is erection problems a symptom of hyperprolactinemia?
seborrhic dermatitis,dry skin,disease-symptom,Is seborrhic dermatitis a disease?,Is dry skin a symptom?,Is dry skin a symptom of seborrhic dermatitis?
ingrown fingernail,pain,disease-symptom,Is ingrown fingernail a disease?,Is pain a symptom?,Is pain a symptom of ingrown fingernail?
antibiotic cream,ingrown fingernail,drug-disease,Is antibiotic cream a drug?,Is ingrown fingernail a disease?,Is antibiotic cream used to treat ingrown fingernail?
sebaceous cyst,pain,disease-symptom,Is sebaceous cyst a disease?,Is pain a symptom?,Is pain a symptom of sebaceous cyst?
sebaceous cyst,swelling,disease-symptom,Is sebaceous cyst a disease?,Is swelling a symptom?,Is swelling a symptom of sebaceous cyst?
morphine,pain,drug-disease,Is morphine a drug?,Is pain a disease?,Is morphine used to treat pain?
anorexia,bradycardia,disease-symptom,Is anorexia a disease?,Is bradycardia a symptom?,Is bradycardia a symptom of anorexia?
anorexia,low blood pressure,disease-symptom,Is anorexia a disease?,Is low blood pressure a symptom?,Is low blood pressure a symptom of anorexia?
anorexia,low BMI,disease-symptom,Is anorexia a disease?,Is low BMI a symptom?,Is low BMI a symptom of anorexia?
burn,redness,disease-symptom,Is burn a disease?,Is redness a symptom?,Is redness a symptom of burn?
road rash,redness,disease-symptom,Is road rash a disease?,Is redness a symptom?,Is redness a symptom of road rash?
antibiotic cream,infection,drug-disease,Is antibiotic cream a drug?,Is infection a disease?,Is antibiotic cream used to treat infection?
antibiotics,infection,drug-disease,Is antibiotics a drug?,Is infection a disease?,Is antibiotics used to treat infection?
abscessed tooth,throbbing pain,disease-symptom,Is abscessed tooth a disease?,Is throbbing pain a symptom?,Is throbbing pain a symptom of abscessed tooth?
carpal tunnel,tingling,disease-symptom,Is carpal tunnel a disease?,Is tingling a symptom?,Is tingling a symptom of carpal tunnel?
carpal tunnel,numbness,disease-symptom,Is carpal tunnel a disease?,Is numbness a symptom?,Is numbness a symptom of carpal tunnel?
carpal tunnel,shooting pain,disease-symptom,Is carpal tunnel a disease?,Is shooting pain a symptom?,Is shooting pain a symptom of carpal tunnel?
cubital tunnel,tingling,disease-symptom,Is cubital tunnel a disease?,Is tingling a symptom?,Is tingling a symptom of cubital tunnel?
cubital tunnel,numbness,disease-symptom,Is cubital tunnel a disease?,Is numbness a symptom?,Is numbness a symptom of cubital tunnel?
cubital tunnel,shooting pain,disease-symptom,Is cubital tunnel a disease?,Is shooting pain a symptom?,Is shooting pain a symptom of cubital tunnel?
sciatica,tingling,disease-symptom,Is sciatica a disease?,Is tingling a symptom?,Is tingling a symptom of sciatica?
sciatica,numbness,disease-symptom,Is sciatica a disease?,Is numbness a symptom?,Is numbness a symptom of sciatica?
sciatica,shooting pain,disease-symptom,Is sciatica a disease?,Is shooting pain a symptom?,Is shooting pain a symptom of sciatica?
amitriptyline,migraines,drug-disease,Is amitriptyline a drug?,Is migraines a disease?,Is amitriptyline used to treat migraines?
imitrex,migraines,drug-disease,Is imitrex a drug?,Is migraines a disease?,Is imitrex used to treat migraines?
tingling,carpal tunnel,symptom-disease,Is tingling a symptom?,Is carpal tunnel a disease?,Is tingling a symptom of carpal tunnel?
numbness,carpal tunnel,symptom-disease,Is numbness a symptom?,Is carpal tunnel a disease?,Is numbness a symptom of carpal tunnel?
shooting pain,carpal tunnel,symptom-disease,Is shooting pain a symptom?,Is carpal tunnel a disease?,Is shooting pain a symptom of carpal tunnel?
tingling,cubital tunnel,symptom-disease,Is tingling a symptom?,Is cubital tunnel a disease?,Is tingling a symptom of cubital tunnel?
numbness,cubital tunnel,symptom-disease,Is numbness a symptom?,Is cubital tunnel a disease?,Is numbness a symptom of cubital tunnel?
shooting pain,cubital tunnel,symptom-disease,Is shooting pain a symptom?,Is cubital tunnel a disease?,Is shooting pain a symptom of cubital tunnel?
tingling,sciatica,symptom-disease,Is tingling a symptom?,Is sciatica a disease?,Is tingling a symptom of sciatica?
numbness,sciatica,symptom-disease,Is numbness a symptom?,Is sciatica a disease?,Is numbness a symptom of sciatica?
