entity1,entity2,relationship_type,question1,question2,question3,biomistral-7b_q1,biomistral-7b_q2,biomistral-7b_q3,gemma-3-4b_q1,gemma-3-4b_q2,gemma-3-4b_q3,gemma-4-e4b_q1,gemma-4-e4b_q2,gemma-4-e4b_q3,ii-medical-8b_q1,ii-medical-8b_q2,ii-medical-8b_q3,llama-3.1-8b_q1,llama-3.1-8b_q2,llama-3.1-8b_q3,medgemma-4b_q1,medgemma-4b_q2,medgemma-4b_q3,meditron-7b_q1,meditron-7b_q2,meditron-7b_q3,meerkat-7b_q1,meerkat-7b_q2,meerkat-7b_q3,mistral-7b_q1,mistral-7b_q2,mistral-7b_q3,qwen3-8b_q1,qwen3-8b_q2,qwen3-8b_q3,ultramed-3.1-8b_q1,ultramed-3.1-8b_q2,ultramed-3.1-8b_q3
pulmonary embolism,shortness of breath,disease-symptom,Is pulmonary embolism a disease?,Is shortness of breath a symptom?,Is shortness of breath a symptom of pulmonary embolism?,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
pulmonary embolism,chest pain,disease-symptom,Is pulmonary embolism a disease?,Is chest pain a symptom?,Is chest pain a symptom of pulmonary embolism?,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
chiari 1,difficulty swallowing,disease-symptom,Is chiari 1 a disease?,Is difficulty swallowing a symptom?,Is difficulty swallowing a symptom of chiari 1?,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,,yes,no,yes,yes,yes,no,yes,no,yes,yes,yes
chiari 1,hoarseness,disease-symptom,Is chiari 1 a disease?,Is hoarseness a symptom?,Is hoarseness a symptom of chiari 1?,yes,yes,no,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,,yes,no,yes,yes,no,no,yes,no,yes,yes,yes
chiari 1,loss sensation,disease-symptom,Is chiari 1 a disease?,Is loss sensation a symptom?,Is loss sensation a symptom of chiari 1?,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,no,,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes
shortness of breath,pulmonary embolism,symptom-disease,Is shortness of breath a symptom?,Is pulmonary embolism a disease?,Is shortness of breath a symptom of pulmonary embolism?,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
chest pain,pulmonary embolism,symptom-disease,Is chest pain a symptom?,Is pulmonary embolism a disease?,Is chest pain a symptom of pulmonary embolism?,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
difficulty swallowing,chiari 1,symptom-disease,Is difficulty swallowing a symptom?,Is chiari 1 a disease?,Is difficulty swallowing a symptom of chiari 1?,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,,no,yes,yes,yes,yes,no,no,yes,yes,yes
hoarseness,chiari 1,symptom-disease,Is hoarseness a symptom?,Is chiari 1 a disease?,Is hoarseness a symptom of chiari 1?,yes,yes,no,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,,no,yes,yes,no,yes,no,no,yes,yes,yes
loss sensation,chiari 1,symptom-disease,Is loss sensation a symptom?,Is chiari 1 a disease?,Is loss sensation a symptom of chiari 1?,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,no,yes,,yes,yes,yes,yes,yes,no,yes,yes,yes,yes
knee pain,radial tear of the medial meniscus,symptom-disease,Is knee pain a symptom?,Is radial tear of the medial meniscus a disease?,Is knee pain a symptom of radial tear of the medial meniscus?,yes,yes,no,yes,yes,no,yes,no,yes,yes,no,yes,yes,yes,yes,yes,no,no,yes,no,no,yes,no,no,yes,no,no,yes,no,yes,yes,yes,yes
radial tear of the medial meniscus,joint effusion,disease-symptom,Is radial tear of the medial meniscus a disease?,Is joint effusion a symptom?,Is joint effusion a symptom of radial tear of the medial meniscus?,yes,no,yes,yes,yes,no,no,yes,yes,no,yes,yes,yes,yes,yes,no,yes,yes,no,yes,yes,no,,no,no,yes,no,no,no,yes,yes,yes,yes
heart fluttering,Cardiology Issues,symptom-disease,Is heart fluttering a symptom?,Is Cardiology Issues a disease?,Is heart fluttering a symptom of Cardiology Issues?,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,no,yes,yes,yes,yes,yes,no,yes,yes,,yes,yes,no,yes,yes,no,yes,yes,no,yes
chest pains,Cardiology Issues,symptom-disease,Is chest pains a symptom?,Is Cardiology Issues a disease?,Is chest pains a symptom of Cardiology Issues?,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,no,yes,yes,yes,yes,yes,no,yes,yes,,yes,yes,no,yes,yes,no,yes,yes,no,yes
burning in chest,Cardiology Issues,symptom-disease,Is burning in chest a symptom?,Is Cardiology Issues a disease?,Is burning in chest a symptom of Cardiology Issues?,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,no,yes,yes,yes,yes,yes,no,yes,yes,,yes,yes,no,yes,yes,no,yes,yes,no,yes
allergy,sneezing,disease-symptom,Is allergy a disease?,Is sneezing a symptom?,Is sneezing a symptom of allergy?,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes
allergy,running nose,disease-symptom,Is allergy a disease?,Is running nose a symptom?,Is running nose a symptom of allergy?,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes
schizoaffective disorder,psychotic/schizophrenic tendencies,disease-symptom,Is schizoaffective disorder a disease?,Is psychotic/schizophrenic tendencies a symptom?,Is psychotic/schizophrenic tendencies a symptom of schizoaffective disorder?,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes
depression,lethargy,disease-symptom,Is depression a disease?,Is lethargy a symptom?,Is lethargy a symptom of depression?,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
depression,tired,disease-symptom,Is depression a disease?,Is tired a symptom?,Is tired a symptom of depression?,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
Ativan,withdrawal symptoms,drug-disease,Is Ativan a drug?,Is withdrawal symptoms a disease?,Is Ativan used to treat withdrawal symptoms?,yes,yes,yes,yes,yes,no,yes,no,yes,yes,no,yes,yes,no,yes,yes,yes,yes,yes,no,no,,no,yes,yes,yes,yes,yes,no,yes,yes,no,yes
withdrawal symptoms,shaking,disease-symptom,Is withdrawal symptoms a disease?,Is shaking a symptom?,Is shaking a symptom of withdrawal symptoms?,yes,no,yes,yes,yes,yes,no,yes,yes,no,yes,yes,no,yes,yes,yes,yes,yes,no,no,no,no,yes,yes,yes,yes,yes,no,yes,yes,no,yes,yes
withdrawal symptoms,hot/cold flashes,disease-symptom,Is withdrawal symptoms a disease?,Is hot/cold flashes a symptom?,Is hot/cold flashes a symptom of withdrawal symptoms?,yes,yes,yes,yes,yes,yes,no,yes,yes,no,yes,yes,no,yes,yes,yes,yes,yes,no,yes,yes,no,yes,yes,yes,yes,yes,no,yes,yes,no,yes,yes
withdrawal symptoms,jaw pain,disease-symptom,Is withdrawal symptoms a disease?,Is jaw pain a symptom?,Is jaw pain a symptom of withdrawal symptoms?,yes,yes,yes,yes,yes,yes,no,yes,yes,no,yes,yes,no,yes,yes,yes,yes,yes,no,yes,no,no,yes,no,yes,yes,yes,no,yes,yes,no,yes,yes
