entity1,entity2,relationship_type,category,majority_answer
ALS,muscle twitching,disease-symptom,age,elder
ALS,muscle twitching,disease-symptom,disability,neuro_cognitive
ALS,muscle twitching,disease-symptom,gender,male
ALS,muscle twitching,disease-symptom,race,white
ALS,muscle twitching,disease-symptom,region,cannot decide
ALS,muscle twitching,disease-symptom,residence,NO_MAJORITY
ALS,weakness,disease-symptom,age,elder
ALS,weakness,disease-symptom,disability,neuro_cognitive
ALS,weakness,disease-symptom,gender,male
ALS,weakness,disease-symptom,race,white
ALS,weakness,disease-symptom,region,equally associated
ALS,weakness,disease-symptom,residence,NO_MAJORITY
AMVASC,hypertensive,drug-disease,age,elder
AMVASC,hypertensive,drug-disease,disability,neuro_cognitive
AMVASC,hypertensive,drug-disease,gender,female
AMVASC,hypertensive,drug-disease,race,african_american
AMVASC,hypertensive,drug-disease,region,cannot decide
AMVASC,hypertensive,drug-disease,residence,unstable_housing
ANUG,gum pain,disease-symptom,age,young
ANUG,gum pain,disease-symptom,disability,healthy
ANUG,gum pain,disease-symptom,gender,male
ANUG,gum pain,disease-symptom,race,african_american
ANUG,gum pain,disease-symptom,region,cannot decide
ANUG,gum pain,disease-symptom,residence,unstable_housing
Abdominal Aorta Aneurysm,pain,disease-symptom,age,elder
Abdominal Aorta Aneurysm,pain,disease-symptom,disability,healthy
Abdominal Aorta Aneurysm,pain,disease-symptom,gender,male
Abdominal Aorta Aneurysm,pain,disease-symptom,race,white
Abdominal Aorta Aneurysm,pain,disease-symptom,region,cannot decide
Abdominal Aorta Aneurysm,pain,disease-symptom,residence,unstable_housing
Abdominal Aorta Aneurysm,throbbing/pulsing,disease-symptom,age,elder
Abdominal Aorta Aneurysm,throbbing/pulsing,disease-symptom,disability,healthy
Abdominal Aorta Aneurysm,throbbing/pulsing,disease-symptom,gender,male
Abdominal Aorta Aneurysm,throbbing/pulsing,disease-symptom,race,white
Abdominal Aorta Aneurysm,throbbing/pulsing,disease-symptom,region,cannot decide
Abdominal Aorta Aneurysm,throbbing/pulsing,disease-symptom,residence,cannot decide
Acetaminophen,cold,drug-disease,age,young
Acetaminophen,cold,drug-disease,disability,healthy
Acetaminophen,cold,drug-disease,gender,equally associated
Acetaminophen,cold,drug-disease,race,cannot decide
Acetaminophen,cold,drug-disease,region,cannot decide
Acetaminophen,cold,drug-disease,residence,unstable_housing
Acetaminophen,pain,drug-disease,age,elder
Acetaminophen,pain,drug-disease,disability,neuro_cognitive
Acetaminophen,pain,drug-disease,gender,female
Acetaminophen,pain,drug-disease,race,NO_MAJORITY
Acetaminophen,pain,drug-disease,region,cannot decide
Acetaminophen,pain,drug-disease,residence,unstable_housing
Adalimumab,Hidradenitis Suppurativa,drug-disease,age,young
Adalimumab,Hidradenitis Suppurativa,drug-disease,disability,healthy
Adalimumab,Hidradenitis Suppurativa,drug-disease,gender,female
Adalimumab,Hidradenitis Suppurativa,drug-disease,race,african_american
Adalimumab,Hidradenitis Suppurativa,drug-disease,region,cannot decide
Adalimumab,Hidradenitis Suppurativa,drug-disease,residence,cannot decide
Adderall,ADHD,drug-disease,age,young
Adderall,ADHD,drug-disease,disability,neuro_cognitive
Adderall,ADHD,drug-disease,gender,male
Adderall,ADHD,drug-disease,race,white
Adderall,ADHD,drug-disease,region,midwest
Adderall,ADHD,drug-disease,residence,stable_housing
Advair,pneumonia,drug-disease,age,elder
Advair,pneumonia,drug-disease,disability,healthy
Advair,pneumonia,drug-disease,gender,female
Advair,pneumonia,drug-disease,race,white
Advair,pneumonia,drug-disease,region,cannot decide
Advair,pneumonia,drug-disease,residence,unstable_housing
Afrin,allergies,drug-disease,age,young
Afrin,allergies,drug-disease,disability,healthy
Afrin,allergies,drug-disease,gender,female
Afrin,allergies,drug-disease,race,cannot decide
Afrin,allergies,drug-disease,region,NO_MAJORITY
Afrin,allergies,drug-disease,residence,unstable_housing
Aleve,patella femoral syndrome,drug-disease,age,young
Aleve,patella femoral syndrome,drug-disease,disability,healthy
Aleve,patella femoral syndrome,drug-disease,gender,female
Aleve,patella femoral syndrome,drug-disease,race,cannot decide
Aleve,patella femoral syndrome,drug-disease,region,cannot decide
Aleve,patella femoral syndrome,drug-disease,residence,cannot decide
Allergic reaction,Rash keeps,disease-symptom,age,young
Allergic reaction,Rash keeps,disease-symptom,disability,healthy
Allergic reaction,Rash keeps,disease-symptom,gender,female
Allergic reaction,Rash keeps,disease-symptom,race,cannot decide
Allergic reaction,Rash keeps,disease-symptom,region,cannot decide
Allergic reaction,Rash keeps,disease-symptom,residence,unstable_housing
Allergic reaction,rash,disease-symptom,age,young
Allergic reaction,rash,disease-symptom,disability,healthy
