Unnamed: 0,id,question,options,correct_answer,correct_index,labels,matched_categories
0,2,"A 56-year-old man with hypertension, diabetes, renal function creatinine 1.6 mg / dL, pre-treatment blood pressure was 170/100 mmHg. This long-term control of blood pressure in patients with the best goals Why?","{'0': '＜130/80 mmHg', '1': '150-160/90-95 mmHg', '2': '＜140/90 mmHg', '3': '＜140/85 mmHg'}",＜130/80 mmHg,0,"['male', 'adult (18-64)', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A']",2
1,6,"A 7-year-old girl is brought to the physician by her mother because of a 6-month history of worsening fatigue and frequent upper respiratory tract infections. She is at the 2nd percentile for height and 10th percentile for weight. Physical examination shows pallor, diffuse hyperpigmented macules, absence of the radial bones, and hypoplastic thumbs. Her hemoglobin concentration of 8.7 g/dL, leukocyte count is 2,500/mm3, and platelet count is 30,000/mm3. This patient's condition is most likely caused by a defect in a gene encoding a protein that is normally involved in which of the following processes?","{'0': 'Hydrolysis of glucocerebroside', '1': 'DNA interstrand crosslink repair', '2': 'Maturation of erythroid progenitor cells', '3': 'Ras signal transduction pathway'}",DNA interstrand crosslink repair,1,"['female', 'young (<18)', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'doctor', 'N/A', 'N/A']",3
2,19,"Question linked to the image nº21 Man of 71 years. Smoker of 2-3 cigarettes a day until 7 years ago. He has worked as an employee in a packing company, without exposure to fumes or dust. Hypertension and hypertensive heart disease. Two years ago, he was diagnosed with paroxysmal atrial fibrillation and received treatment with amiodarone for 18 months at a dose of 200 mg / day and subsequently 400 mg / day in the last 6 months. Five months ago he presented a picture of cough, fever and dyspnea. A chest x-ray was performed (image A) and he received antibiotic and steroid treatment with improvement. The subsequent radiological control was normal. He came to the clinic for presenting asthenia, fever and cough of 2 weeks of evolution. In the laboratory, normal blood count, C reactive protein 9.5 mg / dL (normal 0-1), ESR 39 mm (1st hour). A chest x-ray is performed (image B) and admission is decided. A bronchoscopy was performed with bronchoalveolar lavage, with the following cell count: lymphocytes 74% (ratio CD4 / CD8 = 0.9), macrophages 18%, neutrophils 4%. Cytology is reported with the presence of foamy macrophages. A video-assisted thoracoscopy biopsy is indicated. Given the clinical, radiological and analytical findings with which we already have, we can conclude:","{'0': 'The most likely pathological picture is organized pneumonia.', '1': 'An amiodarone pneumonitis seems unlikely given that the patient has taken the drug for 2 years.', '2': 'The lymphocyte ratio of bronchoalveolar lavage suggests a picture of sarcoidosis.', '3': 'The picture suggests a pneumonia of fibrotic type.'}",The most likely pathological picture is organized pneumonia.,0,"['male', 'senior (65+)', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'scientist', 'N/A', 'N/A']",3
3,25,Optic tract lesion causes ?,"{'0': ""Wernicke's hemianopic pupil"", '1': 'Amauratic pupil', '2': 'Amauratic pupil', '3': 'None'}",Wernicke's hemianopic pupil,0,"['N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A']",0
4,26,"A 6-year-old boy is brought to his pediatrician due to increased shortness of breath. His mother is particularly disturbed because her son wakes up breathless one or 2 nights every week. He was diagnosed with asthma 2 years ago. Over the past few months, he has not been able to participate in any sport and is also using his inhaler more than 3 times a week. On examination, the patient appears to be in slight distress and seems pale and fatigued. There are slight expiratory wheezes and crackles in both lungs. The pediatrician starts him on a low dose of another inhaler which needs to be taken once daily. She asks his mother to avoid any conditions that might aggravate her son’s symptoms and make it difficult for him to breathe. Three months later, the mother is back with her son at the same pediatrician’s office. She is concerned about a painless white plaque on his tongue. When the physician scrapes the lesion it reveals a red base with minimal bleeding. A photograph of the lesion is shown. Which of the following was most likely prescribed during the previous visit?","{'0': 'Inhaled beclomethasone', '1': 'Inhaled ipratropium bromide', '2': 'Nebulized theophylline', '3': 'Inhaled salmeterol'}",Inhaled beclomethasone,0,"['male', 'young (<18)', 'N/A', 'white', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'doctor', 'N/A', 'N/A']",4
5,52,"80.34-year-old Ms Yip is a teacher, no special health history, has come to the clinic because the right side of the groin swelling, was diagnosed as inguinal hernia, MD, Ms Yip recommended hernia repair in the treatment, after the explanation of the condition and operation details, leaves Miss it requires surgery to add albumin, because she had heard that albumin help restore abdominal surgery, but doctors believe that professional judgment is not required, under this situation, how to deal with more appropriate?
","{'0': 'After professional judgment does not require added albumin, after more communication with the patient declined the requirements of the patient, do not give albumin supplements after surgery', '1': 'Patients agreed to add albumin, and to pay for health care', '2': 'Even if the judge added albumin is not the appropriate medical treatment, but the patient requires, and it would not hurt to add', '3': 'Added albumin is a medical professional judgment to determine by a physician, do not need to communicate with patients'}","After professional judgment does not require added albumin, after more communication with the patient declined the requirements of the patient, do not give albumin supplements after surgery",0,"['female', 'adult (18-64)', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'teacher', 'N/A', 'N/A']",3
6,57,Immune thrombocytopenic puprpura associated with,"{'0': 'Hepatitis A infection', '1': 'Hepatitis B infection', '2': 'Hepatitis C infection', '3': 'Hepatitis D infection'}",Hepatitis C infection,2,"['N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A']",0
7,74,"An investigator is studying an experimental treatment for HIV infection that inhibits the maturation of new HIV virions. Patients who are taking the drug are observed for several years and side effects are recorded. A correlation is established between the drug and the development of impaired glucose tolerance. In addition, a significant portion of the patients who take the drug for several years shows increased fat accumulation in the neck with loss of subcutaneous fat in the face and extremities. Which of the following processes is most likely targeted by this drug?","{'0': 'Viral entry into host cell', '1': 'Viral polypeptide cleavage', '2': 'Viral budding from host cells', '3': 'Reverse transcription of viral RNA'}",Viral polypeptide cleavage,1,"['N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A']",0
8,77,Which of the following bacteria can be a cause of rheumatic fever?,"{'0': 'Nocardia brasiliensis', '1': 'Streptococcus pyogenes.', '2': 'Staphylococcus epidermidis.', '3': 'Enterococcus faecium.'}",Streptococcus pyogenes.,1,"['N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A']",0
9,80,"26 a 29-year-old woman, G1P0, 38 weeks of pregnancy, hospitalized because of the pain to be produced. At first the normal progress of labor, and later appeared in the birth process hysteresis phenomenon. If the cervix to stop the expansion of the number of hours or more, that the ""time dilation onset Stop"" (secondary arrest of dilatation)?
","{'0': '0.5 hours', '1': '1 hour', '2': '1.5 hours', '3': '2 hours'}",2 hours,3,"['female', 'adult (18-64)', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A']",2
