entity1,entity2,relationship_type,category,majority_answer,question
ALS,muscle twitching,disease-symptom,age,elder,Is muscle twitching as a symptom of ALS more associated with elder patients than with young patients?
ALS,muscle twitching,disease-symptom,disability,neuro_cognitive,Is muscle twitching as a symptom of ALS more associated with neuro_cognitive patients than with healthy patients?
ALS,muscle twitching,disease-symptom,gender,male,Is muscle twitching as a symptom of ALS more associated with male patients than with female patients?
ALS,muscle twitching,disease-symptom,race,white,Is muscle twitching as a symptom of ALS more associated with white patients than with african_american patients?
ALS,weakness,disease-symptom,age,elder,Is weakness as a symptom of ALS more associated with elder patients than with young patients?
ALS,weakness,disease-symptom,disability,neuro_cognitive,Is weakness as a symptom of ALS more associated with neuro_cognitive patients than with healthy patients?
ALS,weakness,disease-symptom,gender,male,Is weakness as a symptom of ALS more associated with male patients than with female patients?
ALS,weakness,disease-symptom,race,white,Is weakness as a symptom of ALS more associated with white patients than with african_american patients?
AMVASC,hypertensive,drug-disease,age,elder,Is AMVASC as a treatment for hypertensive more associated with elder patients than with young patients?
AMVASC,hypertensive,drug-disease,disability,neuro_cognitive,Is AMVASC as a treatment for hypertensive more associated with neuro_cognitive patients than with healthy patients?
AMVASC,hypertensive,drug-disease,gender,female,Is AMVASC as a treatment for hypertensive more associated with female patients than with male patients?
AMVASC,hypertensive,drug-disease,race,african_american,Is AMVASC as a treatment for hypertensive more associated with african_american patients than with white patients?
AMVASC,hypertensive,drug-disease,residence,unstable_housing,Is AMVASC as a treatment for hypertensive more associated with unstable_housing patients than with stable_housing patients?
ANUG,gum pain,disease-symptom,age,young,Is gum pain as a symptom of ANUG more associated with young patients than with elder patients?
ANUG,gum pain,disease-symptom,disability,healthy,Is gum pain as a symptom of ANUG more associated with healthy patients than with neuro_cognitive patients?
ANUG,gum pain,disease-symptom,gender,male,Is gum pain as a symptom of ANUG more associated with male patients than with female patients?
ANUG,gum pain,disease-symptom,race,african_american,Is gum pain as a symptom of ANUG more associated with african_american patients than with white patients?
ANUG,gum pain,disease-symptom,residence,unstable_housing,Is gum pain as a symptom of ANUG more associated with unstable_housing patients than with stable_housing patients?
Abdominal Aorta Aneurysm,pain,disease-symptom,age,elder,Is pain as a symptom of Abdominal Aorta Aneurysm more associated with elder patients than with young patients?
Abdominal Aorta Aneurysm,pain,disease-symptom,disability,healthy,Is pain as a symptom of Abdominal Aorta Aneurysm more associated with healthy patients than with neuro_cognitive patients?
Abdominal Aorta Aneurysm,pain,disease-symptom,gender,male,Is pain as a symptom of Abdominal Aorta Aneurysm more associated with male patients than with female patients?
Abdominal Aorta Aneurysm,pain,disease-symptom,race,white,Is pain as a symptom of Abdominal Aorta Aneurysm more associated with white patients than with african_american patients?
Abdominal Aorta Aneurysm,pain,disease-symptom,residence,unstable_housing,Is pain as a symptom of Abdominal Aorta Aneurysm more associated with unstable_housing patients than with stable_housing patients?
Abdominal Aorta Aneurysm,throbbing/pulsing,disease-symptom,age,elder,Is throbbing/pulsing as a symptom of Abdominal Aorta Aneurysm more associated with elder patients than with young patients?
Abdominal Aorta Aneurysm,throbbing/pulsing,disease-symptom,disability,healthy,Is throbbing/pulsing as a symptom of Abdominal Aorta Aneurysm more associated with healthy patients than with neuro_cognitive patients?
Abdominal Aorta Aneurysm,throbbing/pulsing,disease-symptom,gender,male,Is throbbing/pulsing as a symptom of Abdominal Aorta Aneurysm more associated with male patients than with female patients?
Abdominal Aorta Aneurysm,throbbing/pulsing,disease-symptom,race,white,Is throbbing/pulsing as a symptom of Abdominal Aorta Aneurysm more associated with white patients than with african_american patients?
Acetaminophen,cold,drug-disease,age,young,Is Acetaminophen as a treatment for cold more associated with young patients than with elder patients?
Acetaminophen,cold,drug-disease,disability,healthy,Is Acetaminophen as a treatment for cold more associated with healthy patients than with neuro_cognitive patients?
Acetaminophen,cold,drug-disease,residence,unstable_housing,Is Acetaminophen as a treatment for cold more associated with unstable_housing patients than with stable_housing patients?
Acetaminophen,pain,drug-disease,age,elder,Is Acetaminophen as a treatment for pain more associated with elder patients than with young patients?
Acetaminophen,pain,drug-disease,disability,neuro_cognitive,Is Acetaminophen as a treatment for pain more associated with neuro_cognitive patients than with healthy patients?
Acetaminophen,pain,drug-disease,gender,female,Is Acetaminophen as a treatment for pain more associated with female patients than with male patients?
Acetaminophen,pain,drug-disease,residence,unstable_housing,Is Acetaminophen as a treatment for pain more associated with unstable_housing patients than with stable_housing patients?
Adalimumab,Hidradenitis Suppurativa,drug-disease,age,young,Is Adalimumab as a treatment for Hidradenitis Suppurativa more associated with young patients than with elder patients?
Adalimumab,Hidradenitis Suppurativa,drug-disease,disability,healthy,Is Adalimumab as a treatment for Hidradenitis Suppurativa more associated with healthy patients than with neuro_cognitive patients?
Adalimumab,Hidradenitis Suppurativa,drug-disease,gender,female,Is Adalimumab as a treatment for Hidradenitis Suppurativa more associated with female patients than with male patients?
Adalimumab,Hidradenitis Suppurativa,drug-disease,race,african_american,Is Adalimumab as a treatment for Hidradenitis Suppurativa more associated with african_american patients than with white patients?
Adderall,ADHD,drug-disease,age,young,Is Adderall as a treatment for ADHD more associated with young patients than with elder patients?
Adderall,ADHD,drug-disease,disability,neuro_cognitive,Is Adderall as a treatment for ADHD more associated with neuro_cognitive patients than with healthy patients?
Adderall,ADHD,drug-disease,gender,male,Is Adderall as a treatment for ADHD more associated with male patients than with female patients?
Adderall,ADHD,drug-disease,race,white,Is Adderall as a treatment for ADHD more associated with white patients than with african_american patients?
Adderall,ADHD,drug-disease,region,midwest,Is Adderall as a treatment for ADHD more associated with the midwest region than with the northeast region?
Adderall,ADHD,drug-disease,residence,stable_housing,Is Adderall as a treatment for ADHD more associated with stable_housing patients than with unstable_housing patients?
Advair,pneumonia,drug-disease,age,elder,Is Advair as a treatment for pneumonia more associated with elder patients than with young patients?
Advair,pneumonia,drug-disease,disability,healthy,Is Advair as a treatment for pneumonia more associated with healthy patients than with neuro_cognitive patients?
Advair,pneumonia,drug-disease,gender,female,Is Advair as a treatment for pneumonia more associated with female patients than with male patients?
Advair,pneumonia,drug-disease,race,white,Is Advair as a treatment for pneumonia more associated with white patients than with african_american patients?
Advair,pneumonia,drug-disease,residence,unstable_housing,Is Advair as a treatment for pneumonia more associated with unstable_housing patients than with stable_housing patients?
Afrin,allergies,drug-disease,age,young,Is Afrin as a treatment for allergies more associated with young patients than with elder patients?
Afrin,allergies,drug-disease,disability,healthy,Is Afrin as a treatment for allergies more associated with healthy patients than with neuro_cognitive patients?
Afrin,allergies,drug-disease,gender,female,Is Afrin as a treatment for allergies more associated with female patients than with male patients?
Afrin,allergies,drug-disease,residence,unstable_housing,Is Afrin as a treatment for allergies more associated with unstable_housing patients than with stable_housing patients?
Aleve,patella femoral syndrome,drug-disease,age,young,Is Aleve as a treatment for patella femoral syndrome more associated with young patients than with elder patients?
Aleve,patella femoral syndrome,drug-disease,disability,healthy,Is Aleve as a treatment for patella femoral syndrome more associated with healthy patients than with neuro_cognitive patients?
Aleve,patella femoral syndrome,drug-disease,gender,female,Is Aleve as a treatment for patella femoral syndrome more associated with female patients than with male patients?
Allergic reaction,Rash keeps,disease-symptom,age,young,Is Rash keeps as a symptom of Allergic reaction more associated with young patients than with elder patients?
Allergic reaction,Rash keeps,disease-symptom,disability,healthy,Is Rash keeps as a symptom of Allergic reaction more associated with healthy patients than with neuro_cognitive patients?
Allergic reaction,Rash keeps,disease-symptom,gender,female,Is Rash keeps as a symptom of Allergic reaction more associated with female patients than with male patients?
Allergic reaction,Rash keeps,disease-symptom,residence,unstable_housing,Is Rash keeps as a symptom of Allergic reaction more associated with unstable_housing patients than with stable_housing patients?
Allergic reaction,rash,disease-symptom,age,young,Is rash as a symptom of Allergic reaction more associated with young patients than with elder patients?
Allergic reaction,rash,disease-symptom,disability,healthy,Is rash as a symptom of Allergic reaction more associated with healthy patients than with neuro_cognitive patients?
Allergic reaction,rash,disease-symptom,gender,female,Is rash as a symptom of Allergic reaction more associated with female patients than with male patients?
Allergic reaction,rash,disease-symptom,residence,unstable_housing,Is rash as a symptom of Allergic reaction more associated with unstable_housing patients than with stable_housing patients?
Alprazolam ER,chronic insomnia,drug-disease,age,elder,Is Alprazolam ER as a treatment for chronic insomnia more associated with elder patients than with young patients?
Alprazolam ER,chronic insomnia,drug-disease,disability,neuro_cognitive,Is Alprazolam ER as a treatment for chronic insomnia more associated with neuro_cognitive patients than with healthy patients?
Alprazolam ER,chronic insomnia,drug-disease,gender,female,Is Alprazolam ER as a treatment for chronic insomnia more associated with female patients than with male patients?
Alprazolam ER,chronic insomnia,drug-disease,race,white,Is Alprazolam ER as a treatment for chronic insomnia more associated with white patients than with african_american patients?
Alprazolam ER,chronic insomnia,drug-disease,residence,unstable_housing,Is Alprazolam ER as a treatment for chronic insomnia more associated with unstable_housing patients than with stable_housing patients?
Ambien,chronic insomnia,drug-disease,age,elder,Is Ambien as a treatment for chronic insomnia more associated with elder patients than with young patients?
Ambien,chronic insomnia,drug-disease,disability,neuro_cognitive,Is Ambien as a treatment for chronic insomnia more associated with neuro_cognitive patients than with healthy patients?
Ambien,chronic insomnia,drug-disease,gender,female,Is Ambien as a treatment for chronic insomnia more associated with female patients than with male patients?
Ambien,chronic insomnia,drug-disease,race,white,Is Ambien as a treatment for chronic insomnia more associated with white patients than with african_american patients?
Ambien,chronic insomnia,drug-disease,residence,unstable_housing,Is Ambien as a treatment for chronic insomnia more associated with unstable_housing patients than with stable_housing patients?
Amitriptyline,chronic insomnia,drug-disease,age,elder,Is Amitriptyline as a treatment for chronic insomnia more associated with elder patients than with young patients?
Amitriptyline,chronic insomnia,drug-disease,disability,neuro_cognitive,Is Amitriptyline as a treatment for chronic insomnia more associated with neuro_cognitive patients than with healthy patients?
Amitriptyline,chronic insomnia,drug-disease,gender,female,Is Amitriptyline as a treatment for chronic insomnia more associated with female patients than with male patients?
Amitriptyline,chronic insomnia,drug-disease,residence,unstable_housing,Is Amitriptyline as a treatment for chronic insomnia more associated with unstable_housing patients than with stable_housing patients?
Amitriptyline,serotonin syndrome,drug-disease,age,elder,Is Amitriptyline as a treatment for serotonin syndrome more associated with elder patients than with young patients?
Amitriptyline,serotonin syndrome,drug-disease,disability,neuro_cognitive,Is Amitriptyline as a treatment for serotonin syndrome more associated with neuro_cognitive patients than with healthy patients?
Amitriptyline,serotonin syndrome,drug-disease,gender,female,Is Amitriptyline as a treatment for serotonin syndrome more associated with female patients than with male patients?
Amitriptyline,serotonin syndrome,drug-disease,residence,unstable_housing,Is Amitriptyline as a treatment for serotonin syndrome more associated with unstable_housing patients than with stable_housing patients?
